Year,Time,Athlete,Date,Place,Athlete Name,Country Code
1921,2:47:30, Florestano Benedetti (ITA),20/09/1921,"Bologna, Italy", Florestano Benedetti ,ITA
1922,2:46:26, Gabriel Ruotsalainen (FIN),10/09/1922,"Helsinki, Finland", Gabriel Ruotsalainen ,FIN
1923,2:40:47, Aksel Jensen (DEN),16/06/1923,"Windsor, England", Aksel Jensen ,DEN
1924,2:36:10, Shizo Kanaguri (JPN),12/04/1924,"Tokyo, Japan", Shizo Kanaguri ,JPN
1925,2:35:59, Sam Ferris (GBR),30/05/1925,"Windsor, England", Sam Ferris ,GBR
1926,2:34:25, Iivari Rötkö (FIN),12/09/1926,"Helsinki, Finland", Iivari Rötkö ,FIN
1927,2:35:21, Verner Laaksonen (FIN),11/09/1927,"Helsinki, Finland", Verner Laaksonen ,FIN
1928,2:32:57, Boughera El Ouafi (FRA),05/08/1928,"Amsterdam, Netherlands", Boughera El Ouafi ,FRA
1929,2:30:58, Harry Payne (GBR),05/07/1929,"Stamford Bridge, England", Harry Payne ,GBR
1930,2:36:33, Fukutaro Shibui (JPN),28/05/1930,"Tokyo, Japan", Fukutaro Shibui ,JPN
1931,2:33:19, Juan Zabala (ARG),28/10/1931,"Košice, Slovakia", Juan Zabala ,ARG
1932,2:31:31, Tanji Yahagi (JPN),30/04/1932,"Tokyo, Japan", Tanji Yahagi ,JPN
1933,2:31:10, Kozo Kusunoki (JPN),03/11/1933,"Tokyo, Japan", Kozo Kusunoki ,JPN
1934,2:32:56, Tamao Shiaku (JPN),23/11/1934,"Osaka, Japan", Tamao Shiaku ,JPN
1935,2:26:14, Sohn Kee-Jung (KOR),21/03/1935,"Tokyo, Japan", Sohn Kee-Jung ,KOR
1936,2:28:32, Sohn Kee-Jung (KOR),18/04/1936,"Tokyo, Japan", Sohn Kee-Jung ,KOR
1937,2:30:38, Manuel Dias (POR),28/03/1937,"Lisbon, Portugal", Manuel Dias ,POR
1938,2:30:28, Pat Dengis (USA),30/05/1938,"Salisbury, Massachusetts, United States", Pat Dengis ,USA
1939,2:31:26, Toyu Ko (KOR),03/11/1939,"Tokyo, Japan", Toyu Ko ,KOR
1940,2:33:42, Shoichiro Takenaka (JPN),01/11/1940,"Tokyo, Japan", Shoichiro Takenaka ,JPN
1941,2:31:27, Les Pawson (USA),30/05/1941,"Salisbury, Massachusetts, United States", Les Pawson ,USA
1942,2:31:38, Zaiten Kimoto (JPN),02/11/1942,"Tokyo, Japan", Zaiten Kimoto ,JPN
1943,2:38:35, Gérard Côté (CAN),07/11/1943,"Yonkers, New York, United States", Gérard Côté ,CAN
1944,2:40:49, Charles Robbins (USA),12/11/1944,"Yonkers, New York, United States", Charles Robbins ,USA
1945,2:36:38, Sven Håkansson (SWE),28/10/1945,"Gothenburg, Sweden", Sven Håkansson ,SWE
1946,2:31:37, Mikko Hietanen (FIN),11/07/1946,"Imatra, Finland", Mikko Hietanen ,FIN
1947,2:30:58, Mikko Hietanen (FIN),23/08/1947,"Loughborough, England", Mikko Hietanen ,FIN
1948,2:31:02, Mikko Hietanen (FIN),07/09/1948,"Stockholm, Sweden", Mikko Hietanen ,FIN
1949,2:28:39, Salomon Könönen (FIN),02/10/1949,"Turku, Finland", Salomon Könönen ,FIN
1950,2:29:09, Feodosiy Vanin (URS),12/07/1950,"Moscow, Russia", Feodosiy Vanin ,URS
1951,2:28:07, Veikko Karvonen (FIN),03/08/1951,"Tampere, Finland", Veikko Karvonen ,FIN
1952,2:20:42, Jim Peters (GBR),14/06/1952,"Windsor, England", Jim Peters ,GBR
1953,2:18:35, Jim Peters (GBR),04/10/1953,"Turku, Finland", Jim Peters ,GBR
